year,district,area,n_stops,n_lines,avg_distan,tot,tot_F,tot_M,tot_foreig,n_fam,minors,working_age,seniors,stop_coverage,tot_accidents,tot_vehicles_involves,vehicle_categories,n_public_vehicles,public_accidents
2012,1,6380937.20411074,273,927,448.8648642917726,74952,39610,35245,8218,41689,10626.0,47783.0,16446.0,6.871342498362144,408.0,776.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",43.0,36.0
2012,2,14274479.739175482,367,1044,438.7218776887988,121753,71398,62998,13093,65153,18476.0,79296.0,36624.0,6.2983872265868115,314.0,597.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",22.0,20.0
2012,3,7808975.573327789,196,380,398.4117896522477,130988,70591,63137,17803,67760,18885.0,83469.0,31374.0,2.0766583293627328,348.0,670.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",15.0,14.0
2012,4,6230760.772218829,128,250,295.7131750070681,81665,44309,39679,13298,41961,12389.0,53348.0,18251.0,1.3758093603161536,285.0,560.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",13.0,13.0
2012,5,16254321.252419531,316,603,503.4006219960419,134203,74091,69274,23274,68040,21702.0,89718.0,31945.0,3.358987473391033,397.0,790.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",25.0,23.0
2012,6,22420548.11960433,300,577,419.63258287080436,102253,55487,53088,24787,49941,17719.0,67470.0,23386.0,6.33592164822158,361.0,706.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",17.0,14.0
2012,7,18710748.83619715,258,611,372.00526222787676,88742,46796,43333,20426,45908,13482.0,57445.0,19202.0,3.854131566915552,294.0,560.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",25.0,22.0
2012,8,20961887.644029822,393,923,578.0052491013369,137485,74321,67044,21292,72082,19854.0,87417.0,34094.0,8.19838555409693,503.0,968.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",20.0,19.0
2019,1,6261486.96434018,270,1029,431.0028651292802,72709,38618,34005,6504,40556,10160.0,45032.0,17431.0,6.810695178158826,578.0,1125.0,"['', 'altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",55.0,46.0
2019,2,14156390.44888918,336,1046,421.99236521894676,117877,68126,60187,13553,64058,17216.0,74949.0,36148.0,5.454178137800352,505.0,1009.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",16.0,16.0
2019,3,8015324.37880698,189,407,368.34573724668064,123754,66569,59407,14805,65760,16994.0,76987.0,31995.0,2.3659361516334596,508.0,1028.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",18.0,16.0
2019,4,6211920.31439986,136,303,282.096855345912,78460,42544,38155,11166,41778,11593.0,49814.0,19292.0,1.435662888397697,347.0,704.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",14.0,12.0
2019,5,17054162.48945633,334,754,502.862962962963,130296,71654,66730,24345,67233,20881.0,84768.0,32735.0,4.486923717162078,655.0,1332.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",30.0,26.0
2019,6,22381614.3857388,276,687,396.07681092143355,100191,53874,51815,25986,49640,17475.0,64369.0,23845.0,5.684941733666182,574.0,1151.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",25.0,22.0
2019,7,18635391.21348656,272,657,353.8663638481248,83607,43868,40280,16770,44385,12352.0,52471.0,19325.0,3.3979852607461423,435.0,835.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",25.0,24.0
2019,8,20896349.08997326,377,920,564.0699038301553,129876,70265,62548,18191,69451,18358.0,79752.0,34703.0,7.672054108947346,700.0,1388.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",41.0,38.0
