year,zone_stat,desc_zone,district,area,n_stops,n_lines,avg_distan,tot,tot_F,tot_M,tot_foreig,n_fam,minors,working_age,seniors,stop_coverage,tot_accidents,tot_vehicles_involves,vehicle_categories,n_public_vehicles,public_accidents
2012,09bis,Valentino,8,465675.182104,13,30,7.9022299971727445,27,12,3,5,3,6.0,8.0,1.0,1.4444444444444438,28.0,56.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",1.0,1.0
2012,1,Municipio,1,437507.8320347001,19,98,28.667868249929317,7744,3949,3793,1254,4633,1037.0,5350.0,1355.0,0.30505241083571705,31.0,56.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",4.0,3.0
2012,10,Porta Nuova-San Secondo,1,370636.50067541,16,72,22.52226463104326,6802,3573,3221,993,3798,909.0,4508.0,1377.0,0.6017496109491911,22.0,36.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",4.0,4.0
2012,11,Vanchiglia,7,473776.67613089,25,68,45.44720101781171,11415,5985,5448,1331,6262,1403.0,7378.0,2652.0,0.11789192582932301,25.0,51.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",1.0,1.0
2012,12,Borgo Dora,7,881319.68745265,23,95,38.838422391857506,15225,7945,7568,5736,8332,2350.0,9979.0,3184.0,0.455840050015846,80.0,151.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",8.0,6.0
2012,13,Parco Michelotti-Borgo Po,8,581947.58108353,22,42,38.63839411931015,5815,3258,2557,430,3314,801.0,3337.0,1677.0,0.273310400516784,10.0,22.0,"['privato_moto', 'privato_vettura', 'veicoli_grandi']",0.0,0.0
2012,14,Motovelodromo,7,356104.51345451,16,40,24.995617755159742,3471,1861,1602,342,1904,451.0,2168.0,844.0,0.249520273819001,11.0,20.0,"['privato_moto', 'privato_vettura', 'pubblico']",3.0,2.0
2012,15,Piazza Crimea,8,348497.09540294996,10,32,25.601781170483456,2193,1216,977,197,1146,336.0,1307.0,550.0,0.190926166497104,13.0,26.0,"['bicicletta', 'privato_moto', 'privato_vettura']",0.0,0.0
2012,16,San Donato,4,868951.5649597499,28,59,65.21317500706814,21115,11314,9785,3560,10935,2967.0,13575.0,4557.0,0.27818710899891197,51.0,93.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",4.0,4.0
2012,17,Porta Susa,3,442927.68881621,13,24,23.163698049194235,8656,4612,4031,790,4527,1195.0,5419.0,2029.0,0.06702992800107001,24.0,51.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,2.0
2012,17bis,Nuovo Tribunale,3,176530.21656815,8,14,12.766468758835172,1254,630,617,163,664,187.0,795.0,265.0,0.37440202722587196,18.0,35.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",1.0,1.0
2012,18,Politecnico,1,827543.2347254601,33,121,63.5690203562341,5977,3256,2708,467,3014,942.0,3537.0,1485.0,1.0857353897753057,30.0,61.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",2.0,2.0
2012,19,Piazza Nizza,8,502485.0333996699,16,43,37.61598812553011,10921,5776,5130,1746,5924,1518.0,7072.0,2316.0,0.134256018638774,32.0,60.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",2.0,2.0
2012,2,Palazzo Reale,1,90507.6733432,6,25,4.9129205541419285,147,53,78,23,91,12.0,94.0,25.0,0.263459335624284,1.0,1.0,['privato_vettura'],0.0,0.0
2012,20,Corso Dante-Ponte Isabella,8,710968.95573508,17,45,41.40436810856659,14849,8009,7054,1982,8057,1993.0,9562.0,3508.0,0.127985718910605,51.0,93.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",1.0,1.0
2012,21,Gasometro,7,338910.16216017,10,19,17.993214588634434,2311,1282,1022,473,1216,332.0,1433.0,539.0,0.296695361460162,7.0,15.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",1.0,1.0
2012,22,Vanchiglietta,7,793907.6801754897,20,61,38.12970031099802,17567,9649,8242,1942,9082,2470.0,10816.0,4605.0,0.282555924056409,31.0,58.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",2.0,2.0
2012,23,Rossini,7,614350.27920694,14,35,25.607930449533505,6744,3473,3265,1146,3473,991.0,4458.0,1289.0,0.18552052679452002,30.0,57.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,3.0
2012,24,Aurora,7,872911.24232411,37,110,55.19091037602488,20908,10676,11030,8446,10380,3667.0,14403.0,3636.0,0.33573196563653,64.0,122.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",6.0,6.0
2012,25,Ospedale Amedeo di Savoia,4,817779.37163857,10,39,22.37786259541985,12452,7026,7000,3480,6575,2564.0,9424.0,2038.0,0.135573919764564,39.0,77.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",3.0,3.0
2012,26,Crocetta,1,654036.95298591,15,67,33.65055131467346,13480,7302,6181,1409,7350,1909.0,8179.0,3395.0,0.19219280932734098,25.0,50.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico']",1.0,1.0
2012,27,Ospedale Mauriziano,1,425219.71487177,20,42,31.833121289228163,6136,3340,2789,513,3279,854.0,3649.0,1626.0,0.520123013403118,31.0,65.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",7.0,6.0
2012,28,Corso Lepanto,8,403350.53835741,10,31,20.45080576759966,3313,1763,1550,446,1773,425.0,1994.0,894.0,0.073383459236443,23.0,41.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",2.0,2.0
2012,29,Campidoglio,4,932316.35964573,32,52,73.94402035623409,15402,8238,7139,2384,7900,2137.0,9739.0,3501.0,0.5252205085692221,104.0,207.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",4.0,4.0
2012,3,Palazzo Carignano,1,377634.26487573,20,82,37.801314673452076,4246,2184,2045,314,2363,537.0,2790.0,902.0,0.6114526862187439,28.0,49.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",6.0,4.0
2012,30,La Tesoriera,5,1253613.7974759298,26,30,48.25957732541701,15097,7977,7112,2985,7758,2074.0,9615.0,3400.0,0.315055863910778,27.0,53.0,"['privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,3.0
2012,31,Boringhieri,3,265342.70475916,7,17,15.270992366412216,5099,2938,2522,562,3060,677.0,3299.0,1484.0,0.025040855145404998,16.0,26.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'veicoli_grandi']",0.0,0.0
2012,32,Cenisia,3,734102.95795467,19,25,40.43518518518519,16874,9018,8137,3044,8804,2359.0,11123.0,3673.0,0.062062120091319,46.0,89.0,"['privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",2.0,2.0
2012,33,San Paolo,3,964317.5675836101,33,70,69.81043256997455,22684,12058,10974,4498,12056,3133.0,15094.0,4805.0,0.18409024339485702,52.0,92.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,3.0
2012,34,Monginevro,3,460786.00580096,14,24,27.992154368108565,9196,5037,4531,1698,4830,1383.0,6221.0,1964.0,0.153968521070559,30.0,55.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'soccorso', 'veicoli_grandi']",0.0,0.0
2012,35,Polo Nord,3,996047.0386534999,31,59,59.128498727735376,18442,9808,8651,1937,9190,2861.0,11550.0,4048.0,0.303529782830708,38.0,78.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",3.0,3.0
2012,36,Cimitero Generale,6,1174236.67096894,7,16,13.217557251908396,937,472,448,215,453,142.0,584.0,194.0,0.39918292527675503,24.0,45.0,"['privato_moto', 'privato_vettura', 'veicoli_grandi']",0.0,0.0
